latitude,longitude,primary_road,secondary_road,description,legs,state
44.50315094,-103.89020529,HILLSVIEW RD,MCGUIGAN RD,On HILLSVIEW RD at its intersection with MCGUIGAN RD,4,SD
43.02439444,-98.88337717,365 AVE,CLEVELAND AVE,On 365 AVE at its intersection with CLEVELAND AVE,4,SD
44.06108007,-103.14351452,COVINGTON ST,HAVEN ST,On COVINGTON ST at its intersection with HAVEN ST,4,SD
44.1256658,-103.17145001,COUNTRY RD,DYESS AVE,On COUNTRY RD at its intersection with DYESS AVE,4,SD
45.43004595,-98.41282294,135 ST,391 AVE,On 135 ST at its intersection with 391 AVE,4,SD
45.64671511,-98.20730292,120 ST,401 AVE,On 120 ST at its intersection with 401 AVE,4,SD
44.42763678,-96.88672482,204 ST,466 AVE,On 204 ST at its intersection with 466 AVE,4,SD
42.83670854,-98.05012405,314 ST,407 AVE,On 314 ST at its intersection with 407 AVE,4,SD
43.57285987,-96.81092192,263 ST,LA MESA DR,On 263 ST at its intersection with LA MESA DR,4,SD
44.47043227,-103.86589059,OAK RIDGE RD,PINE CONE AVE,On OAK RIDGE RD at its intersection with PINE CONE AVE,4,SD
43.89183042,-96.8688737,241 ST,467 AVE,On 241 ST at its intersection with 467 AVE,4,SD
43.90618894,-96.72838606,240 ST,474 AVE,On 240 ST at its intersection with 474 AVE,4,SD
45.73488987,-98.4969491,114 ST,387 AVE,On 114 ST at its intersection with 387 AVE,4,SD
44.89762111,-97.18806445,4 AVE SW,42 ST SW,On 4 AVE SW at its intersection with 42 ST SW,4,SD
45.50286015,-98.49530264,130 ST,387 AVE,On 130 ST at its intersection with 387 AVE,4,SD
44.20694102,-103.35958543,WINCHESTER CT,KIT CARSON TRL,On WINCHESTER CT at its intersection with KIT CARSON TRL,4,SD
43.94966424,-96.96932422,237 ST,462 AVE,On 237 ST at its intersection with 462 AVE,4,SD
44.25385028,-96.82855694,216 ST,469 AVE,On 216 ST at its intersection with 469 AVE,4,SD
44.15253758,-97.00928292,223 ST,460 AVE,On 223 ST at its intersection with 460 AVE,4,SD
42.95219419,-97.49672254,306 ST,435 AVE,On 306 ST at its intersection with 435 AVE,4,SD
43.70844243,-98.26581929,OLD HWY 16,397 AVE,On OLD HWY 16 at its intersection with 397 AVE,4,SD
43.02532705,-102.55993441,MAIN ST,EAGLE AVE,On MAIN ST at its intersection with EAGLE AVE,4,SD
44.28257369,-97.16935413,214 ST,452 AVE,On 214 ST at its intersection with 452 AVE,4,SD
44.47061472,-96.92765502,201 ST,464 AVE,On 201 ST at its intersection with 464 AVE,4,SD
43.32797583,-99.21809364,LUCAS RD,281 ST,On LUCAS RD at its intersection with 281 ST,4,SD
43.02655016,-102.56018222,EAGLE FEATHER ST,EAGLE RD,On EAGLE FEATHER ST at its intersection with EAGLE RD,4,SD
43.68752527,-98.02669625,SPRUCE ST E,ROWLEY ST S,On SPRUCE ST E at its intersection with ROWLEY ST S,4,SD
43.87763989,-97.51023136,242 ST,435 AVE,On 242 ST at its intersection with 435 AVE,4,SD
44.12564755,-103.19162413,143 AVE,COUNTRY RD,On 143 AVE at its intersection with COUNTRY RD,4,SD
43.46103969,-96.83633363,GATEWAY BLVD W,MAIN AVE,On GATEWAY BLVD W at its intersection with MAIN AVE,4,SD
45.00297434,-101.22968751,3RD ST,WASHINGTON ST,On 3RD ST at its intersection with WASHINGTON ST,4,SD
43.89514698,-98.13158965,241 ST,404 AVE,On 241 ST at its intersection with 404 AVE,4,SD
43.77346617,-99.18306089,350 AVE,COUNTY RD 122,On 350 AVE at its intersection with COUNTY RD 122,4,SD
43.60055286,-97.58720803,261 ST,431 AVE,On 261 ST at its intersection with 431 AVE,4,SD
45.46310826,-98.48518124,2ND AVE SE,WASHINGTON ST S,On 2ND AVE SE at its intersection with WASHINGTON ST S,4,SD
45.47379932,-98.48806458,8TH AVE NW,MAIN ST N,On 8TH AVE NW at its intersection with MAIN ST N,4,SD
43.26046088,-99.71675282,3RD ST,SULLIVAN ST,On 3RD ST at its intersection with SULLIVAN ST,4,SD
43.26152425,-99.71818646,2ND ST,CARR ST,On 2ND ST at its intersection with CARR ST,4,SD
43.54342886,-99.90189181,266 ST,313 AVE,On 266 ST at its intersection with 313 AVE,4,SD
43.28187211,-97.09230669,DAKOTA AVE,PARK BLVD,On DAKOTA AVE at its intersection with PARK BLVD,4,SD
42.88705574,-97.38714248,19TH ST E,MULBERRY ST,On 19TH ST E at its intersection with MULBERRY ST,4,SD
42.86983791,-97.39537614,3RD ST W,CEDAR ST,On 3RD ST W at its intersection with CEDAR ST,4,SD
42.86980386,-97.39381559,3RD ST W,WALNUT ST,On 3RD ST W at its intersection with WALNUT ST,4,SD
42.88344477,-97.38711448,15TH ST E,MULBERRY ST,On 15TH ST E at its intersection with MULBERRY ST,4,SD
44.18216659,-103.33811913,CASTLEWOOD DR,SAVANNAH DR,On CASTLEWOOD DR at its intersection with SAVANNAH DR,4,SD
44.23160408,-103.38910917,2ND ST,MAIN ST,On 2ND ST at its intersection with MAIN ST,4,SD
44.09301837,-103.21171258,MAPLE AVE N,VAN BUREN ST,On MAPLE AVE N at its intersection with VAN BUREN ST,4,SD
44.08355769,-103.28523485,NORDBY LN,OMAHA ST W,On NORDBY LN at its intersection with OMAHA ST W,4,SD
43.99215055,-102.23891223,GLENN ST,6TH AVE,On GLENN ST at its intersection with 6TH AVE,4,SD
43.35735697,-99.85035479,COUNTRY CLUB RD,279 ST,On COUNTRY CLUB RD at its intersection with 279 ST,4,SD
44.57481544,-96.89806193,6TH ST,BELL AVE,On 6TH ST at its intersection with BELL AVE,4,SD
