tag,lat,lon
Children_at_play,39.8477033,-89.6180083
Children_at_play,39.8521042,-89.6139471
Children_at_play,39.7278502,-89.6622543
Children_at_play,39.8137878,-89.6725667
Children_at_play,39.8136673,-89.6721514
Children_at_play,39.8131811,-89.67317
Children_at_play,39.8126507,-89.6730072
Children_at_play,39.8123907,-89.6677971
Children_at_play,39.81652,-89.6532057
Children_at_play,39.7978602,-89.6778463
Children_at_play,39.7631141,-89.5785421
Children_at_play,39.8143018,-89.6571621
Children_at_play,39.7583353,-89.6138638
Children_at_play,39.7658786,-89.5829485
Children_at_play,39.7659206,-89.5799461
Children_at_play,39.7666109,-89.5827332
Children_at_play,39.7617637,-89.582558
Children_at_play,39.744032,-89.5601148
Children_at_play,39.7462959,-89.560179
Children_at_play,39.748803,-89.5597522
Children_at_play,39.7507625,-89.5598826
Children_at_play,39.8107091,-89.6638637
Children_at_play,39.9541415,-89.5462754
Children_at_play,39.8155102,-89.6667294
Children_at_play,39.8155482,-89.6662024
Children_at_play,39.7774251,-89.6546215
Children_at_play,39.7852329,-89.6282818
Children_at_play,39.7851594,-89.6274086
Children_at_play,39.8503899,-89.5779989
Children_at_play,39.7755952,-89.6568964
Children_at_play,39.7061569,-89.646966
Children_at_play,39.6939044,-89.7113303
Children_at_play,39.694504,-89.7115077
Children_at_play,39.6963396,-89.7113935
Children_at_play,39.7974314,-89.6718401
Children_at_play,39.8126913,-89.6504987
Children_at_play,39.7851383,-89.6294666
Children_at_play,39.8209502,-89.6093336
Children_at_play,39.8205823,-89.6107447
Children_at_play,39.8207906,-89.6066569
Children_at_play,39.8210825,-89.6038989
Children_at_play,39.8237924,-89.6031838
Children_at_play,39.7750488,-89.7158429
Children_at_play,39.7732044,-89.7150052
Children_at_play,39.8212252,-89.6185695
Children_at_play,39.81985,-89.6229657
Children_at_play,39.8197418,-89.6244874
Children_at_play,39.7430334,-89.6243618
Children_at_play,39.8164109,-89.6653624
Children_at_play,39.8248966,-89.616317
Children_at_play,39.7753923,-89.7011712
Children_at_play,39.775782,-89.7016955
Children_at_play,39.7767328,-89.7238297
Children_at_play,39.8414356,-89.6106517
Children_at_play,39.8425423,-89.6129129
Children_at_play,39.8418497,-89.6143987
Children_at_play,39.7725712,-89.7051365
Children_at_play,39.7727832,-89.7052996
Children_at_play,39.7728034,-89.705428
Children_at_play,39.7734345,-89.7049099
Children_at_play,39.7726768,-89.7018781
Children_at_play,39.8389379,-89.619181
Children_at_play,39.7606579,-89.6684762
Children_at_play,39.7660227,-89.6957123
Children_at_play,39.7684381,-89.6956484
Children_at_play,39.770301,-89.6958743
Children_at_play,39.7723009,-89.6380984
Children_at_play,39.7269015,-89.6125603
Children_at_play,39.7264868,-89.6121277
Children_at_play,39.8049222,-89.6336038
